,start_time,away_team,home_team
66,2019-10-31 20:30:00+00:00,DENVER_NUGGETS,NEW_ORLEANS_PELICANS
67,2019-10-31 21:30:00+00:00,SAN_ANTONIO_SPURS,LOS_ANGELES_CLIPPERS
68,2019-11-01 18:00:00+00:00,HOUSTON_ROCKETS,BROOKLYN_NETS
69,2019-11-01 18:00:00+00:00,CLEVELAND_CAVALIERS,INDIANA_PACERS
70,2019-11-01 18:00:00+00:00,MILWAUKEE_BUCKS,ORLANDO_MAGIC
71,2019-11-01 18:30:00+00:00,NEW_YORK_KNICKS,BOSTON_CELTICS
72,2019-11-01 19:00:00+00:00,DETROIT_PISTONS,CHICAGO_BULLS
73,2019-11-01 20:30:00+00:00,LOS_ANGELES_LAKERS,DALLAS_MAVERICKS
74,2019-11-01 21:00:00+00:00,UTAH_JAZZ,SACRAMENTO_KINGS
75,2019-11-01 21:30:00+00:00,SAN_ANTONIO_SPURS,GOLDEN_STATE_WARRIORS
76,2019-11-02 16:00:00+00:00,NEW_ORLEANS_PELICANS,OKLAHOMA_CITY_THUNDER
77,2019-11-02 18:00:00+00:00,BROOKLYN_NETS,DETROIT_PISTONS
78,2019-11-02 18:00:00+00:00,DENVER_NUGGETS,ORLANDO_MAGIC
79,2019-11-02 19:00:00+00:00,PHOENIX_SUNS,MEMPHIS_GRIZZLIES
80,2019-11-02 19:00:00+00:00,TORONTO_RAPTORS,MILWAUKEE_BUCKS
81,2019-11-02 19:00:00+00:00,MINNESOTA_TIMBERWOLVES,WASHINGTON_WIZARDS
82,2019-11-02 19:30:00+00:00,CHARLOTTE_HORNETS,GOLDEN_STATE_WARRIORS
83,2019-11-02 21:00:00+00:00,PHILADELPHIA_76ERS,PORTLAND_TRAIL_BLAZERS
84,2019-11-03 17:00:00+00:00,CHICAGO_BULLS,INDIANA_PACERS
85,2019-11-03 18:00:00+00:00,HOUSTON_ROCKETS,MIAMI_HEAT
86,2019-11-03 18:00:00+00:00,SACRAMENTO_KINGS,NEW_YORK_KNICKS
87,2019-11-03 19:00:00+00:00,LOS_ANGELES_LAKERS,SAN_ANTONIO_SPURS
88,2019-11-03 19:30:00+00:00,DALLAS_MAVERICKS,CLEVELAND_CAVALIERS
89,2019-11-03 21:00:00+00:00,UTAH_JAZZ,LOS_ANGELES_CLIPPERS
90,2019-11-04 19:00:00+00:00,DETROIT_PISTONS,WASHINGTON_WIZARDS
91,2019-11-04 19:30:00+00:00,NEW_ORLEANS_PELICANS,BROOKLYN_NETS
92,2019-11-04 20:00:00+00:00,HOUSTON_ROCKETS,MEMPHIS_GRIZZLIES
93,2019-11-04 20:00:00+00:00,MILWAUKEE_BUCKS,MINNESOTA_TIMBERWOLVES
94,2019-11-04 21:00:00+00:00,PHILADELPHIA_76ERS,PHOENIX_SUNS
95,2019-11-04 22:30:00+00:00,PORTLAND_TRAIL_BLAZERS,GOLDEN_STATE_WARRIORS
96,2019-11-05 19:00:00+00:00,INDIANA_PACERS,CHARLOTTE_HORNETS
97,2019-11-05 19:00:00+00:00,BOSTON_CELTICS,CLEVELAND_CAVALIERS
98,2019-11-05 19:30:00+00:00,SAN_ANTONIO_SPURS,ATLANTA_HAWKS
99,2019-11-05 20:00:00+00:00,LOS_ANGELES_LAKERS,CHICAGO_BULLS
100,2019-11-05 20:00:00+00:00,ORLANDO_MAGIC,OKLAHOMA_CITY_THUNDER
101,2019-11-05 21:00:00+00:00,MIAMI_HEAT,DENVER_NUGGETS
102,2019-11-06 19:00:00+00:00,NEW_YORK_KNICKS,DETROIT_PISTONS
103,2019-11-06 19:00:00+00:00,WASHINGTON_WIZARDS,INDIANA_PACERS
104,2019-11-06 19:30:00+00:00,CHICAGO_BULLS,ATLANTA_HAWKS
105,2019-11-06 19:30:00+00:00,GOLDEN_STATE_WARRIORS,HOUSTON_ROCKETS
106,2019-11-06 19:30:00+00:00,SACRAMENTO_KINGS,TORONTO_RAPTORS
