Rodada;Time mandante;;Time visitante
21;Athletico-PR;X;Fluminense
21;Fortaleza;X;Coritiba
21;América-MG;X;São Paulo
22;Fluminense;X;Fortaleza
22;Botafogo;X;Flamengo
22;São Paulo;X;Coritiba
22;Corinthians;X;Palmeiras
22;Goiás;X;Internacional
22;Cruzeiro;X;Bragantino
22;Grêmio;X;Cuiabá
22;Athletico-PR;X;Atlético-MG
22;Bahia;X;Vasco
22;América-MG;X;Santos
23;Flamengo;X;Athletico-PR
23;Vasco;X;Fluminense
23;Palmeiras;X;Goiás
23;Santos;X;Cruzeiro
23;Bragantino;X;Grêmio
23;Atlético-MG;X;Botafogo
23;Internacional;X;São Paulo
23;Coritiba;X;Bahia
23;Fortaleza;X;Corinthians
23;Cuiabá;X;América-MG
24;Fluminense;X;Cruzeiro
24;Vasco;X;Coritiba
24;São Paulo;X;Fortaleza
24;Corinthians;X;Botafogo
24;Goiás;X;Flamengo
24;Atlético-MG;X;Cuiabá
24;Grêmio;X;Palmeiras
24;Athletico-PR;X;Internacional
24;Bahia;X;Santos
24;América-MG;X;Bragantino
25;Flamengo;X;Bahia
25;Botafogo;X;Goiás
25;São Paulo;X;Corinthians
25;Santos;X;Vasco
25;Bragantino;X;Palmeiras
25;Cruzeiro;X;América-MG
25;Internacional;X;Atlético-MG
25;Coritiba;X;Athletico-PR
25;Fortaleza;X;Grêmio
25;Cuiabá;X;Fluminense
26;Fluminense;X;Botafogo
26;Vasco;X;São Paulo
26;Palmeiras;X;Santos
26;Corinthians;X;Flamengo
26;Goiás;X;Bahia
26;Atlético-MG;X;Coritiba
26;Internacional;X;Grêmio
26;Athletico-PR;X;Bragantino
26;Fortaleza;X;América-MG
26;Cuiabá;X;Cruzeiro
27;Fluminense;X;Corinthians
27;Vasco;X;Fortaleza
27;Palmeiras;X;Atlético-MG
27;Santos;X;Bragantino
27;Goiás;X;São Paulo
27;Cruzeiro;X;Flamengo
27;Grêmio;X;Athletico-PR
27;Coritiba;X;Cuiabá
27;Bahia;X;Internacional
27;América-MG;X;Botafogo
28;Flamengo;X;Vasco
28;Botafogo;X;Athletico-PR
28;São Paulo;X;Grêmio
28;Corinthians;X;América-MG
28;Bragantino;X;Fluminense
28;Atlético-MG;X;Cruzeiro
28;Internacional;X;Santos
28;Coritiba;X;Palmeiras
28;Bahia;X;Fortaleza
28;Cuiabá;X;Goiás
29;Fluminense;X;Goiás
29;Vasco;X;Internacional
29;Palmeiras;X;São Paulo
29;Santos;X;Coritiba
29;Bragantino;X;Atlético-MG
29;Cruzeiro;X;Bahia
29;Grêmio;X;Flamengo
29;Athletico-PR;X;América-MG
29;Fortaleza;X;Botafogo
29;Cuiabá;X;Corinthians
30;Flamengo;X;Bragantino
30;Botafogo;X;Cuiabá
30;Palmeiras;X;Bahia
30;Corinthians;X;Santos
30;Goiás;X;Vasco
30;Atlético-MG;X;Fluminense
30;Internacional;X;Coritiba
30;Athletico-PR;X;São Paulo
30;Fortaleza;X;Cruzeiro
30;América-MG;X;Grêmio
31;Flamengo;X;Santos
31;Botafogo;X;Palmeiras
31;São Paulo;X;Cruzeiro
31;Corinthians;X;Athletico-PR
31;Goiás;X;Bragantino
31;Atlético-MG;X;Fortaleza
31;Internacional;X;América-MG
31;Coritiba;X;Grêmio
31;Bahia;X;Fluminense
31;Cuiabá;X;Vasco
32;Fluminense;X;São Paulo
32;Vasco;X;Botafogo
32;Palmeiras;X;Athletico-PR
32;Santos;X;Cuiabá
32;Bragantino;X;Corinthians
32;Cruzeiro;X;Internacional
32;Grêmio;X;Bahia
32;Coritiba;X;Goiás
32;Fortaleza;X;Flamengo
32;América-MG;X;Atlético-MG
33;Flamengo;X;Palmeiras
33;Botafogo;X;Grêmio
33;São Paulo;X;Bragantino
33;Corinthians;X;Atlético-MG
33;Goiás;X;Santos
33;Cruzeiro;X;Vasco
33;Internacional;X;Fluminense
33;Athletico-PR;X;Fortaleza
33;Bahia;X;Cuiabá
33;América-MG;X;Coritiba
34;Flamengo;X;Fluminense
34;Vasco;X;América-MG
34;Palmeiras;X;Internacional
34;Santos;X;São Paulo
34;Bragantino;X;Botafogo
34;Atlético-MG;X;Goiás
34;Grêmio;X;Corinthians
34;Coritiba;X;Cruzeiro
34;Bahia;X;Athletico-PR
34;Cuiabá;X;Fortaleza
35;Fluminense;X;Coritiba
35;Botafogo;X;Santos
35;São Paulo;X;Cuiabá
35;Corinthians;X;Bahia
35;Goiás;X;Cruzeiro
35;Atlético-MG;X;Grêmio
35;Internacional;X;Bragantino
35;Athletico-PR;X;Vasco
35;Fortaleza;X;Palmeiras
35;América-MG;X;Flamengo
36;Flamengo;X;Atlético-MG
36;Vasco;X;Corinthians
36;Palmeiras;X;América-MG
36;Santos;X;Fluminense
36;Bragantino;X;Fortaleza
36;Cruzeiro;X;Athletico-PR
36;Grêmio;X;Goiás
36;Coritiba;X;Botafogo
36;Bahia;X;São Paulo
36;Cuiabá;X;Internacional
37;Flamengo;X;Cuiabá
37;Botafogo;X;Cruzeiro
37;Palmeiras;X;Fluminense
37;Corinthians;X;Internacional
37;Bragantino;X;Coritiba
37;Atlético-MG;X;São Paulo
37;Grêmio;X;Vasco
37;Athletico-PR;X;Santos
37;Fortaleza;X;Goiás
37;América-MG;X;Bahia
38;Fluminense;X;Grêmio
38;Vasco;X;Bragantino
38;São Paulo;X;Flamengo
38;Santos;X;Fortaleza
38;Goiás;X;América-MG
38;Cruzeiro;X;Palmeiras
38;Internacional;X;Botafogo
38;Coritiba;X;Corinthians
38;Bahia;X;Atlético-MG
38;Cuiabá;X;Athletico-PR
